Fork;Navn;Strekninger
249;H-sign 249;5
283;HS 283;3
413;H-sign 4103;8
431;H-sign 4301;8
461;H-sign 4601;8
635;H-sign 1635;99
958;HS 985;3
ÅBO;Åbogen;1
ÅBY;Åneby;5
ÅDL;Ådalsruk;13
ADL;Arendal;22
AGL;Agle;14
AKE;Aker;9,9c
ALA;Alna;9
ÅL;Ål;7
ALB;Alnabru;5c,9b,9c,9d,9e
ÅLN;Ålen;13
ALV;Alvdal;13
ÅMO;Åmot;20
ÅND;Åndalsnes;12
ARN;Arna;7
ÅRN;Årnes;1
ARS;Alfr. Andersen Mek. Verksted Og;21
ART;Arteid Bp;99
ARV;Arvika;1
ÅSA;Åstaddalen Bp.A;8
ÅS;Ås;3
ÅSE;Åsen;14
ASE;Asper;9
ASM;Askim;4
ASP;Aspedammen;3
ASR;Asker;8,8b
ASS;Auma s.sp;13
ATN;Atna;13
AUD;Audnedal;19
AUL;Auli;1
AUM;Auma;13
AUS;Austvoll Bp;7
AVI;Akersvika Bp;10
BÅK;Berkåk;11
BAL;Ballerus Bp A;8
BÅR;Barkåker;21
BÅS;Bråstad;22
BEG;Bergsgrav;14
BEK;Bekkelaget;3,4
BER;Brekvam;6
BFS;Braskereidfoss;2
BG;Berg;3
BGG;Bergseng;10
BGH;Bergheim;7
BGN;Boganes;19
BJE;Bjerka;15
BJF;Bjørnfjell;16
BJO;Bjorli;12
BJS;Bjørnstad Bp;3
BKH;Bekkedalshøgda;99
BKK;Brekka Bp;10
BLA;Blaksrad;22
BLE;Bleiken;5
BLH;Blomheller;6
BLK;Blaker;1
BLO;Blommenholm;8b
BMO;Bellingmo;13
BOA;Bolna;15
BØ;Bø;17,18
BO;Bodø;15
BOD;Bodung;1
BOL;Bolstadøyri;7
BØN;Bøn;9
BON;Bondivann;8b
BOS;Borgestad;21
BØY;Bøylestad;22
BRA;Brakerøya;8
BRB;Brobekk;9,9d
BR;Bryn;9,9e
BRD;Brumunddal;10
BRE;Brevik s.sp.;21c
BRG;Bergen;7
BRH;Brennhaug;10
BRL;Breland;19
BRS;Brusand;19
BRT;Lillestrøm N;9
BRY;Bryne;19
BSR;Bjørgeseter;5
BST;Billingstad;8b
BUL;Bulken;7
BUM;Brøttum;10
BVK;Bergsvika;10
BVO;Bjørkevoll;19
BVS;Brandval Sag s.sp;2
CG;Charlottenberg;1
DAL;Dal;9
DAR;Darbu;17
DAV;Dalsvatn;21
DIL;Dilling;3
DIS;Disenå;1
DJU;Djupvik;16
DL;Dale;7
DLR;Daler;17
DNE;Dalane;18
DNM;Dønnum Bp;9
DOK;Dokka;5d
DOM;Dombås;10,11,12
DOV;Dovre;10
DRD;Drangedal;17,18
DRI;Driva Bp;11
DRM;Drammen;8,17,21
DRS;Drivstua;11
DRU;Dallerud Bp;10
DSU;Drolsum;20
DUN;Dunderland;15
DVT;Drevvatn;15
EBE;Røstad;14
EBG;Eidsberg;4
ED;Ed;3
EGS;Egersund;19
EIN;Eina;5,5d
EIT;Eiterstraum;15
EKØ;Eikonrød Bp;21
ELI;Elisenberg Bp.A;3,4,5,9
ELN;Elnes;5
ELV;Elverum;2,13
ENG;Enger Bp;99
EPA;Espa;10
ERU;Eriksrud;8
EVE;Evenstad;13
EVG;Evanger;7
EVL;Eidsvoll;9,10,99
EVV;Eidsvoll Verk;99
FÅB;Fåberg;10
FAU;Fauske;15
FÅV;Fåvang;10
FBS;Fåberg Omformerstasjons s.sp;10
FET;Fetsund;1
FGH;Fagerhaug;11
FGL;Fagerlia Bp;16
FGN;Fagernut;7
FHM;Fjellhamar Bp.;9
FID;Fidjetun;18
FIL;Filipstad;8c
FIN;Finse;7
FJE;Fjellhamar;9
FJR;Fjellsrud Bp.;1,99
FLÅ;Flå;7
FLA;Flaten;22
FLI;Flisa;2
FM;Flåm;6
FMS;Formofoss s.sp;14
FOK;Fokstua;11
FOL;Follvell Bp;1
FRE;Fredrikstad;3
FRL;Froland;22
FRN;Fron;10
FRO;Frogner;9
FRY;Frya Bp;10
FUB;Furutberget Bp;10
FUS;Forus Bp. A;19
GAB;Galleberg;21
GAE;Gardsenden Bp;11
GAKR;Åkrene Bp;1
GAL;Garli;11
GAN;Ganddal;19
GAR;Gardermoen;99
GAU;Gausel;19
GGS;Gropa Grustak s.sp;1
GHA;Gullhella;8b
GHS;Geithus;20
GJÅ;Gjerdåker;7
GJE;Gjerstad;18
GJØ;Gjøvik;5
GLI;Granli Bp;1
GLO;Geilo;7
GLT;Galterud;1
GMO;General Motor s.sp.;9
GOL;Gol;7
GOS;Glåmos;13
GRA;Gran;5
GRÅ;Greåker Bp;3
GRE;Grefsen;5,5c
GRG;Grong;14,15
GRH;Gransherad s.sp;21b
GRI;Grimsrud Bp.;3
GRØ;Grønvollsfoss s.sp;21b
GRO;Grorud;9,9b
GRU;Grua;5
GRV;Grovane;18
GUD;Greverud;3
GU;Gudå;14c
GUL;Gulskogen;17
GUN;Gunnarsrød Bp A;21
GUT;Guttersrud;1
GUV;Gulsvik;7
GV;Gvarv;17,18
GVL;Grindvoll;5b
GYL;Gyland;19
HAB;Hanaborg;9
HÅB;Holtsås Bp;17
HAF;Hafjell;10
HAG;Haga;1
HAL;Hakadal;5
HAL;Hallingskeid;7
HAM;Hammer Bp;14
HAN;Hanestad;13
HÅR;Håreina;6
HAR;Harran;15
HÅS;Holtsås;17
HAU;Haugastøl;7
HBØ;Hjuskebø;17,21b
HBY;Huseby Bp.;8
HDM;Helldalsmo;18
HDN;Haltdalen;13
HEG;Heggedal;8b
HEI;Heia;4
HEL;Hell;14,14c
HER;Hunder Bp;10
HEV;Hellvik;19
HFS;Hønefoss;5b,7,20
HGA;Haugenstua;9
HG;Haug;3
HGM;Helgemo Bp;11
HGS;Haugenstua Bp.;9
HIN;Hinna Bp.A;19
HIS;Hovdmoen s.sp;13
HJN;Hjerkinn;11
HLD;Halden;3
HLL;Helleland;19
HLM;Holmlia;3,4
HLN;Hølen;3
HLR;Hellerud;1,99
HMA;Holmlia hp;3
HMD;Heimdal;11
HMR;Hamar;10,13
HMS;Holmen s.sp;8
HMV;Hommelvik;14
HOB;Hobekk;21
HØB;Høybråten;9
HOG;Hognestad Bp;19
HOI;Hovin;11
HOK;Hokksund;17,20
HOL;Hol;7
HOM;Holm Bp.;21
HØN;Høn;8b
HOR;Horisontalen Bp;16
HOS;Holstad Bp.A;3
HOV;Hov s.sp;5d
HØY;Høye Bp;19
HRA;Hegra;14c
HRF;Herefoss;18
HRG;Horg Bp;11
HSD;Holmestrand;21
HSG;Hallenskog;8b
HSK;Heskestad;19
HSR;Hauerseter;9
HSS;Hunderfossen;10
HST;Harestua;5
HTO;Hauketo;3
HTS;Hedmark Treimpregn. s.sp;13
HUG;Haugan Bp;14
HUN;Hundorp;10
HVÅ;Holmvassås Bp;15
HVA;Hvalstad;8b
HVE;Hove;10
HV;Hval;5b
HVK;Høvik;8b
HYK;Hynnekleiv Bp;18
IFS;Ideal Flatbrødfabr. s.sp;10
ILS;Ilseng;13
ING;Ingedal;3
ISE;Ise;4
JAR;Jaren;5
JÅT;Jåttåvågen;19
JEH;Jessheim;9
JEN;Jensrud;5
JES;Jessnes;10
JEV;Jevnaker;5b
JØR;Jørstad;14
KÅL;Kvål Bp;11
KAM;Kambo;3
KAT;Katterat;16
KBG;Kongsberg;17
KFO;Kattfoss;20
KIR;Kirkenær;2
KJE;Kjelsås;5
KJF;Kjosfossen;6
KJM;Kjerringmyrene Bp.;1,99
KJØ;Kjørum Bp;10
KLØ;Kløfta;9
KLØ;Kløfta;99
KLP;Klepp;19
KLV;Kløve;7
KNA;Knapstad;4
KOB;Kobbervik;21
KOK;Kokerud Bp A;8
KO;Kornsjø;3
KOL;Kolbotn;3,4
KOP;Koppang;
KOS;Kolstad Bp;11
KOT;Kostsøy;13
KPP;Kleppe Bp;17,18
KPR;Kopperå;14c
KRÅ;Kråkstad;4
KRE;Krekling;17
KRS;Kristiansand;18,19
KST;Krogstad Bp;11
KVÆ;Oslo S Kværnersløyfa;9e
KVÅ;Kvål;11
KVA;Kvam;10
KVG;Kongsvinger;1,2
KVH;Kvarehei Bp;18
KVI;Kvitfjell;10
KVL;Kongsvoll;11
LAA;Lagerud Bp.A;8
LAL;Langeland;9
LAL;Langeland;99
LAN;Langhus;3,4
LAO;Larvik omformerstasjon st. ssp;21
LAS;Langset;10
LAU;Lauve;21
LBG;Lindeberg;9
LBU;Liabru Bp.A;3
LBY;Lisleby;3
LDL;Lurudal Bp;14
LDN;Langodden Bp;10
LDN;Lilleby;14
LEA;Leangen;14,14b
LER;Ler;11
LES;Lesja;12
LEV;Levanger;14
LHM;Lillehammer;10
LIE;Lier;8
LIN;Lindmoen Bp;15
LJA;Ljan;3,4
LJB;Ljosanbotn;7
LLD;Lilledal Bp;3
LLE;Langlete;13
LLØ;Lillestrøm Ø;1
LLS;Lillestrøm;1,9,99
LMO;Lundamo;11
LMY;Langemyr;18
LND;Lunden;6
LOE;Loenga;3,9e
LØN;Lønsdal;15
LØR;Lørenskog;9
LOS;Losna;10
LØT;Løten;13
LRK;Lerkendal;14b
LRU;Linnerud;20
LSB;Leirsund Bp.;99
LSD;Leirsund;9
LSM;Lassemoen;15
LSR;Lyser;18
LST;Langstein;14
LSV;Lesjaverk;12
LU;Lunner;5
LUN;Lunde;17,18
LUR;Lura Bp. A;19
LVG;A/S Platon s.sp;21b
LVK;Larvik;21
LVL;Leivoli;19
LYS;Lysaker;8,8b
MÆ;Mære;14
MAG;Magnor;1
MAJ;Majavatn;15
MAR;Marstein;12
MAS;Mangå s.sp;1
MÅS;Martineåsen;21
MAT;Matrand;1
MBG;Trondheim M;11,14b
MCS;Moss Cellulosefabr. s.sp;3
MCT;Moss Cellulose s.sp;3
MDL;Marnardal;19
MEH;Mehaia;17
MEL;Melhus;11
MER;Meråker;14c
MFJ;Mjølfjell;7
MJD;Mjørndalen;17
MLI;Mellingen Bp;15
MLV;Moelv;10
MNE;Myrane;21,21c
MOB;Molbekk Bp;3
MOI;Moi;19
MO;Mo i Rana;15
MON;Monsrud;5
MØR;Mørkved;15
MOS;Moss;3
MPS;Markøya Pukkverk s.sp;11
MRA;Myra Bp;10
MRO;Mariero;19
MRS;Martodden s.sp;10
MSD;Midtsandan;14
MSJ;Mosjøen;15
MSK;Melhus Skysstasjon;11
MSU;Minnesund;10
MVB;Melvoll Bp.;99
MVS;Mosseverkets s.sp;3
MVT;Movatn;5
MYR;Myrdal;6,7
MYS;Mysen;4
MYV;Myrvoll;3,4
NAK;Nakksjø;17,18
NBØ;Nærbø;19
NBY;Nordby;9
NDL;Nodeland;19
NEL;Nelaug;18,22
NER;Nerdrum;1
NES;Nesbyen;7
NGU;Nordagutu;17,18,21
NIS;Nisterud Bp;21
NIT;Nittedal;5
NKL;N.K.L.'S s.sp;13
NK;Narvik;16
NNN;Lademoen;14
NOR;Nordli Bp;10
NOS;Nordstrand Bp;3
NRU;Nakkerud;20
NSK;Namskogan;15
NST;Nordstrand;3
NTA;Nordtangen;5
NTD;Notodden;21b
NTH;Nationaltheatret;1,3,4,5,8,9
NTR;Nisterud;21
NVT;Neslandsvatn;17,18
NYD;Nydalen;5
NYG;Nygard;5
NYK;Nykirke;21
NYL;Nyland;9
NYP;Nypan;11
Ø03;HS Ø603;3
ØBG;Ørneberget;7
ODS;Odnes s.sp;5d
ØFJ;Ørtfjell;15
ØFL;Øyeflaten;7
OGN;Ogna;19
OGV;Oggevatn;18
ØKP;Øksnavadporten;19
OLA;Olaløkka Bp.A;99
ØND;Ø. Namdal Skogind. s.sp;15
ONS;Onsøy;3
OPD;Oppdal;11
OPG;Oppegård;3,4
ØRK;Ørvik;21c
ØRM;Ørmen Bp;3
ORN;Ornelv Bp;16
ORS;Orstad;19
ØSB;Østborg Bp;14
OSL;Oslo S;1,3,4,5,8,9,99
OS;Os;13
OTA;Otta;10
OTR;Oteråga;15
OTT;Ottestad;10
ØYE;Øyer;10
ØYS;Øysteinstul;17
PAR;Paradis;19
PG;Porsgrunn;21
POT;Potterud Bp;10
PTB;Prestebakke Bp;3
RÅD;Råde;3
RAD;Rudstad;13
RAF;Raufoss Amm.Fabr. s.sp;5d
RAM;Ramstad Bp.;8b
RAN;Randklev Bp;10
RAS;Rasta;13
RÅS;Røykås Bp.;1,99
RAU;Raufoss;5
RBU;Ringebu;10
REI;Reitan;13
REN;Rena;13
RFS;Rånåsfoss;1
RGN;Rognes;13
RGS;Riksgränsen;16
RHM;Ranheim;14
RIS;Rise;22
RKR;Ringsaker Bp;10
RLA;Ronglan;14
RLR;Rallerud Bp;7
RMG;Reimegrend;7
RNM;Rotneim Bp;7
RNU;Reinunga;6
ROA;Roa;5,5b
ROG;Rognan;15
ROH;Rosenholm Bp.A;3
RØK;Røkland;15
ROM;Rombak;16
RØ;Røra;14
RO;Rosten Bp;10
ROS;Røros;13
ROT;Rotvoll;14
RØY;Røyken;8b
RSH;Rosenholm;3
RSM;Rismyr Bp.;99
RS;Roås Bp;3
RSS;Rieber & Søn A/S s.sp;3
RST;Rakkestad;4
RTS;Ring Teigen s.sp;17
RUD;Rudshøgda;10
RVN;Roven;1
RVO;Reinsvoll;5
RVS;Roverud s.sp;2
RVY;Rolsvøy;3
RYG;Rygge;3
SAB;Sandbukta;3
SAD;Sand;9
SÆR;Skjærli Bp;11
SAE;Sande Bp.;21
SAG;Saggrenda;17
SAN;Sander;1
SAS;Skeiane;19
SÅS;Sørumåsen Bp.;8
SÅV;Selåsvatn;18
SAV;Stavne Bp;11
SBG;Steinberg;17
SBO;Sarpsborg;3,4
SBR;Solberg Bp.;8
SBS;Soknabruket s.sp;7
SBT;Solbråtan Bp.A;3
SBU;Skotbu;4
SDA;Sagdalen;9
SDB;Sandbu Bp;10
SDL;Soknedal;11
SDM;Sandermosen;5
SDS;Sandesund;3
SEF;Sefrivatn Pukkverk s.sp;15
SEG;Skonseng;15
SEL;Sel;10
SEM;Sem;21
SES;Sattene Ind.sp;13
SET;Seterstøa;1
SEU;Seut Bp;3
SEV;Skotself;20
SFJ;Sandefjord;21
SGD;Svenningdal;15
SGM;Starrgrasmyra;14
SGR;Seimsgrend;7
SHG;Stangerhaugen Bp.;99
SIN;Singsås;13
SIR;Sira;19
SJB;Skjellbred Bp;19
SJO;Sjoa;10
SJØ;Sjølyst Bp;14
SKA;Skarnes;1
SKE;Skeievoll Bp;10
SKG;Skoger Bp;21
SKI;Ski;3,4
SKJ;Skjeberg;3
SKK;Stokke;21
SKL;Skollenborg;17
SKN;Skien;21
SKØ;Skøyen;1,3,4,5,8,8c,9
SKP;Skoppum;21
SKR;Skrårud Bp;
SKS;Skansen;11
SKV;Skatval;14
SKX;Skåntjern;Bp.A;99
SLB;Selsbakk;11
SLD;H-sign 1214;9
SLE;Slependen;8b
SLJ;Selie Bp.;99
SLM;Skallun Bp A;8
SLN;Sagdalen Bp.;9
SLØ;Slørstad Bp.A;3
SLP;Slependen Bp.;8b
SLU;Slitu;4
SLY;Strandlykkja;10
SMØ;Smørstein;21
SMS;Straumsnes;16
SNA;Snartemo;19
SNÅ;Snåsa;14
SND;Sande;21
SNI;Snippen;5
SN;Søndre Tilsving N;14b
SOA;Stoa;22
SØB;Søberg;11
SØE;Støe Bp;7
SOK;Sokna;7
SOL;Solbråtan;3
SON;Sonsveien;3
SØR;Sørumsand;1
SØS;Søsterbekk;16
SP0;Sporv.300;1,99
SP3;Sporv.303;1,9,99
SPB;Sparbu;14
SPG;Spydeberg;4
SPI;Spikkestad;8b
SPL;Skiple;7
SRI;Sørli;10
SSE;Sandnes;19
SS;Søndre Tilsving S;11
SST;Skorstøl;18
STA;Stai;13
STB;Stabekk;8b
STD;Stod;14
STE;Steinsrud;10
STG;Stange;10
STH;Stanghelle;7
STJ;Stjørdal;14
STK;Steinkjer;14
STN;Strømmen;9
STO;Storekvina;19
STØ;Støren;11,13
STR;Storlien;14c
STV;Stavanger;19
SUL;Suldal;19
SUM;Skaugum Bp.A;8
SVÅ;Sirevåg;19
SVG;Skogn;14
SVI;Svingen;1
SVK;Svenkerud Bp;7
SVN;Marienborg;11,14b
SV;Sandvika;8,8b
SVT;Sandvatn;19
SY;Strken;5
TAN;Tangen;10
TAS;Tunestveit-Arna Gl. St. s.sp;7
TBG;Tønsberg;21
TDA;Trolldalen;7
TDS;Tistedal s.sp;3
TEN;Teisen s.sp;9e
TGS;Tarven Grustak s.sp;1
TIG;Tinnegrend;21b
TIN;Tinnoset;21b
TMÅ;Tanumåsen Bp.;8
TND;Trondheim S;11,14
TNG;Tunga;7
TOL;Tolga;13
TOM;Tomter;4
TON;Tonsåsen s.sp;5d
TØN;Tøyen Bp;5
TOR;Torp;21
TØY;Tøyen;5
TPO;Torpo;7
TRD;Trengereid;7
TRE;Tretten;10
TRO;Trofors;15
TRY;Trykkerud;21b
TUE;Tuen;1
TUS;Tusse Bp.A;3
TVE;Tveter Bp;3
TVL;Tverlandet;15
TVN;Tveitan;21b
TYN;Tynset;13
TYR;Tyristrand;20
UAL;Ualand;19
UBG;Ulsberg;11
ULR;Ulriken Bp;7
ULV;Ulvin Bp.A;10
UPS;Upsete;7
URD;Urdland;7
UST;Ustaoset;7
VAD;Vaksdal;7
VÆR;Værnes;14
VAK;Vakås;8b
VÅL;Vålåsjø;11
VAL;Valnesfjord;15
VAR;Varingskollen;5
VÅS;Vakås Bp.;8b
VAT;Vatnestrøm s.sp;18
VBØ;Valebø;21
VBY;Vestby;3
VDL;Verdal;14
VEL;Veldre Bp;10
VEM;Veme;7
VEN;Venjar;99
VER;Verma;12
VES;Verdal Industrispor;14
VET;Vettalstøen Bp;10
VEV;Vevelstad;3
VFS;Vestfossen;17
VGH;Vegårshei;18
VHG;Varhaug;19
VHR;Vikhammer;14
VIG;Vigrestad;19
VIN;Vinstra;10
VIR;Vieren Bp;7
VJG;Vassijaure;16
VKS;Vikersund;20
VLU;Vaulen Bp.A;19
VNL;Vennesla;18
VOS;Voss;7
VRN;Vieren;7
VRU;Varud;9
VTH;Vatnahalsen;6
VTN;Vatnamot Bp;19
VUD;Vudu Bp;14
YGH;Ygre;7
YGR;Ygre Bp;7
