Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
652;Leonberg - Heimsheim - Tiefenbronn - Weissach Porsche;5 - Bus;31-652-j18
653;Leonberg - Gebersheim - Rutesheim - Heimsheim - Mönsheim - Weissach Porsche / Wiernsheim;5 - Bus;31-653-j18
653A;Mönsheim - Friolzheim - Heimsheim - Rutesheim - Gebersheim - Leonberg;5 - Bus;31-653-a-j18
655;Rutesheim Bahnhof - Rutesheim Rathaus;5 - Bus;31-655-j18
655A;Rutesheim Bahnhof - Rutesheim Schulzentrum;5 - Bus;31-655-a-j18
663;Weil der Stadt - Merklingen - Münklingen - Hausen;5 - Bus;31-663-j18
665;Weil der Stadt Bf - Blammerberg - Bf (- Gymnasium);5 - Bus;31-665-j18
666;Weil d. Stadt - Mühlhausen - Tiefenbronn - Pforzheim;5 - Bus;31-666-j18
670;Weil der Stadt - Schafhausen - Dätzingen - Althengstett - Calw;5 - Bus;31-670-j18
701;Diezenhalde - Böbl.  ZOB - Sindelf. ZOB - Eichholz;5 - Bus;31-701-j18
703;Böblingen ZOB - Sindelfingen ZOB - Eichholz;5 - Bus;31-703-j18
704;(Böblingen - Goldberg -) Sindelf. - Hinterweil - Grünäcker - Landhaussiedlung;5 - Bus;31-704-j18
705;Böblingen ZOB - Flugfeld - Sindelfingen ZOB;5 - Bus;31-705-j18
706;Böblingen ZOB - Sindelf. Breuningerland - Viehweide;5 - Bus;31-706-j18
707;Böbl. Danziger Str. - Hulb - Sindelf. Mercedes-Benz - ZOB;5 - Bus;31-707-j18
708;Böbl. Thermalb. - Goldberg - Sindelf. ZOB - Eichholz;5 - Bus;31-708-j18
709;Sindelfingen ZOB - Böbl. ZOB - Hallenbad - Rauher Kapf;5 - Bus;31-709-j18
711;Sindelf. ZOB - Goldberg Wasserturm - Breuningerland;5 - Bus;31-711-j18
712;Sindelfingen ZOB - Marktplatz - Viehweide;5 - Bus;31-712-j18
715;Sindelfingen ZOB - Maichingen - Hinterweil - ZOB;5 - Bus;31-715-j18
716;Sindelfingen ZOB - Hinterweil - Maichingen - ZOB;5 - Bus;31-716-j18
717;Sindelfingen ZOB - Dagersheim - Darmsheim;5 - Bus;31-717-j18
718;Sindelfingen ZOB - Darmsheim;5 - Bus;31-718-j18
721;Böbl. Diezenhalde - ZOB - Kreiskrankenhaus;5 - Bus;31-721-j18
722;Maichingen - Böblingen Waldorfschule;5 - Bus;31-722-j18
723;Böbl. ZOB - Schulz. Murkenbach - Tannenberg - ZOB;5 - Bus;31-723-j18
724;Böblingen  ZOB - Eichendorffsch. - Schulz. Murkenbach - Rauher Kapf;5 - Bus;31-724-j18
726;Böblingen ZOB - Eugen-Bolz-Straße - Geleener Straße - ZOB;5 - Bus;31-726-j18
728;Böblingen ZOB - Technologiepark;5 - Bus;31-728-j18
731;Böblingen ZOB - Dagersheim Ost;5 - Bus;31-731-j18
732;Böblingen ZOB - Dagersheim - Darmsheim;5 - Bus;31-732-j18
734;Goldberg - Schönaich - Goldberg - Sindelfingen ZOB;5 - Bus;31-734-j18
745;Magstadt - Maichingen (- Sindelfingen);5 - Bus;31-745-j18
746;Vaihingen Universität - Büsnau - Magstadt;5 - Bus;31-746-j18
747;Vaihingen Universität - Büsnau - Warmbronn;5 - Bus;31-747-j18
748;(Doggenburg -) Vaihingen Universität - Sindelfingen - Maichingen;5 - Bus;31-748-j18
749;(Sindelfingen -) Maichingen - Grafenau - Schafhausen;5 - Bus;31-749-j18
752;Ehningen - Altdorf - Holzgerlingen Ehningen - Hildrizhausen - Holzgerlingen - Neuweiler;5 - Bus;31-752-j18
753;Rohrau (- Nufringen Gewerbegebiet) - Gärtringen;5 - Bus;31-753-j18
754;Sindelfingen - Böblingen - Weil i. S. - Dettenhausen;5 - Bus;31-754-j18
756;Holzgerlingen - Breitenstein - Neuweiler;5 - Bus;31-756-j18
759;Liebelsberg - Wildberg - Deckenpfronn - Gärtringen;5 - Bus;31-759-j18
760;(Sindelfingen -) Böblingen - Schönaich - Waldenbuch (- Neuenhaus);5 - Bus;31-760-j18
761;(Sindelfingen -) Böblingen - Schönaich - Weil im Schönbuch;5 - Bus;31-761-j18
761A;(Sindelfingen -) Böblingen - Schönaich - Weil im Schönbuch;5 - Bus;31-761-a-j18
763;(Sindelfingen -) Böblingen - Grafenau / Aidlingen - Calw;5 - Bus;31-763-j18
764;Dachtel - Deufringen - Aidlingen - Ehningen;5 - Bus;31-764-j18
766;Böblingen - Dagersheim - Darmsheim - Grafenau - Weil der Stadt;5 - Bus;31-766-j18
770;Altensteig - Nagold - Herrenberg (Schnellbus);5 - Bus;31-770-j18
773;Herrenberg - Deckenpfronn - Calw;5 - Bus;31-773-j18
774;Nagold - Jettingen - Haslach - Herrenberg;5 - Bus;31-774-j18
775;Wildberg - Kuppingen - Herrenberg Wildberg - Sulz - Oberjettingen;5 - Bus;31-775-j18
777;Nagold - Mötzingen - Gäufelden - Altingen;5 - Bus;31-777-j18
778;Nagold ZOB - Mötzingen - Bondorf;5 - Bus;31-778-j18
779;Herrenb. ZOB Bhfstr. - Vogelsang - ZOB;5 - Bus;31-779-j18
780;Herrenb. ZOB - Schwarzw.siedlg.- Holdergraben - Herrenb. ZOB ;5 - Bus;31-780-j18
781;Herrenberg ZOB Bahnhofstraße - Stadtwerke - Daimlerstraße - ZOB;5 - Bus;31-781-j18
782;Herrenb. ZOB - Hallenb. (- Waldfriedh.) - Seniorenzentr. - ZOB;5 - Bus;31-782-j18
790;Herrenberg - Nebringen - Öschelbronn - Mötzingen;5 - Bus;31-790-j18
791;Herrenberg - Ammerbuch - Entringen;5 - Bus;31-791-j18
794;Herrenberg - Tailfingen (- Herrenberg);5 - Bus;31-794-j18
806;(Degerloch -) EnBW City - Bernhausen;5 - Bus;31-806-j18
809;Bernhausen - Harthausen - Grötzingen - Aich - Neuenhaus;5 - Bus;31-809-j18
826;Leinfelden - Waldenbuch - Tübingen;5 - Bus;31-826-j18
826A;Tübingen - Weil i. S. - Breitenstein (Schülerverkehr) / Waldenbuch - Leinfelden (Schülerverkehr);5 - Bus;31-826-a-j18
828;Flughafen - Echterdingen - Waldenbuch - Tübingen;5 - Bus;31-828-j18
N1;Schlossplatz - Vaihingen Büsnau - Schlossplatz;6 - Nachtbus;33-1-j18
N2;Schlossplatz - Botnang - Schlossplatz;6 - Nachtbus;33-2-j18
N3;Schlossplatz - Gerlingen - Schlossplatz;6 - Nachtbus;33-3-j18
N4;Schlossplatz - Zuffenhausen - Schlossplatz;6 - Nachtbus;33-4-j18
N5;Schlossplatz - Neugereut - Schlossplatz;6 - Nachtbus;33-5-j18
N6;Schlossplatz - Fellbach - Schlossplatz;6 - Nachtbus;33-6-j18
N7;Schlossplatz - Heumaden - Schlossplatz;6 - Nachtbus;33-7-j18
N8;Schlossplatz - Plieningen - Schlossplatz;6 - Nachtbus;33-8-j18
N9;Schlossplatz - Fasanenhof - Schlossplatz;6 - Nachtbus;33-9-j18
N10;Schlossplatz - Rohrer Höhe  - Schlossplatz;6 - Nachtbus;33-10-j18
N14;Esslingen - Liebersbronn - Aichschieß - Aichelberg;6 - Nachtbus;34-14-j18
N19;Esslingen - Nellingen - Denkendorf - Neuhausen - Esslingen;6 - Nachtbus;34-19-j18
N22;Esslingen - Ruit - Kemnat - Scharnhausen - Esslingen;6 - Nachtbus;34-22-j18
N30;Backnang - Burgstall (M) - Kirchberg (M) - Kleinaspach - Backnang;6 - Nachtbus;34-30-j18
N31;Waiblingen - Korb - Kernen - Waiblingen;6 - Nachtbus;34-31-j18
N40;Marbach (N) - Erdmannhausen -  Affalterbach - Kirchberg (M);6 - Nachtbus;34-40-j18
N41;Ludwigsburg - Eglosheim - Neckarweihingen - Hoheneck;6 - Nachtbus;34-41-j18
N42;Ludwigsburg Ost;6 - Nachtbus;34-42-j18
N43;Ludwigsburg - Pattonville - Remseck - Poppenweiler ;6 - Nachtbus;34-43-j18
N44;Freiberg (N) - Pleidelsheim - Besigheim ;6 - Nachtbus;34-44-j18
N46;Beilstein - Oberstenfeld - Großbottwar - Marbach (N);6 - Nachtbus;34-46-j18
N52;Markgröningen - Unterriexingen - Sachsenheim -  Hohenhaslach - Ensingen;6 - Nachtbus;34-52-j18
N53;Schwieberdingen - Markgröningen - Möglingen - Ludwigsburg;6 - Nachtbus;34-53-j18
N55;Zuffenhausen - Münchingen - Schwieberdingen -  Hemmingen - Hochdorf - Eberdingen;6 - Nachtbus;34-55-j18
N56;Oberriexingen - Sachsenheim - Bietigheim;6 - Nachtbus;34-56-j18
N57;Bietigheim - Löchgau - Bönnigheim - Bietigheim;6 - Nachtbus;34-57-j18
N58;Bietigheim - Besigheim - Walheim - Kirchheim (N) -  Gemmrigheim - Ottmarsheim - Besigheim - Bietigheim;6 - Nachtbus;34-58-j18
N60;Böblingen - Sindelfingen - Maichingen - Magstadt - Renningen;6 - Nachtbus;34-60-j18
N62;Leonberg - Gebersheim - Rutesheim - Perouse - Flacht - Weissach;6 - Nachtbus;34-62-j18
N65;Ditzingen - Hirschlanden -  Schöckingen - Heimerdingen ;6 - Nachtbus;34-65-j18
N70;Herrenberg - Bondorf - Mötzingen - Nagold;6 - Nachtbus;34-70-j18
N73;Böblingen ZOB - Diezenhalde -   Sindelfingen Eichholz - Böblingen ZOB;6 - Nachtbus;34-73-j18
N74;Böblingen - Holzgerlingen - Altdorf - Hildrizhausen - Weil i.S. - Neuweiler - Breitenstein - Schönaich- Böbl.;6 - Nachtbus;34-74-j18
N75;Böblingen - Dagersheim - Aidlingen - Deufringen - Dagersheim - Böblingen;6 - Nachtbus;34-75-j18
N76;Oberaichen - Musberg - Steinenbronn - Waldenbuch;6 - Nachtbus;34-76-j18
N77;Gärtringen - Rohrau - Herrenberg - Affstätt - Kuppingen -  Oberjesingen - Deckenpfronn - Gärtringen;6 - Nachtbus;34-77-j18
N80;Tübingen - Herrenberg;6 - Nachtbus;34-80-j18
N81;Wendlingen - Nürtingen - Großbettlingen - Neckarhausen;6 - Nachtbus;34-81-j18
N92;Filderstadt - Aichtal (- Neckartailfingen) - Bernhausen Bf;6 - Nachtbus;34-92-j18
X10;Kirchheim (T) - Flughafen/Messe;15 - Expressbus;35-X10-j18
X20;Waiblingen - Esslingen;15 - Expressbus;35-X20-j18
X60;Leonberg - Universität - Flughafen/Messe;15 - Expressbus;35-X60-j18
RT94;Leonberg Blosenbergkirche - Bahnhof - Waldfriedhof;8 - Ruftaxi;50-94-j18
RT106;Esslingen (N) ZOB - Baltmannsweiler - Hohengehren;8 - Ruftaxi;50-106-j18
RT142;Plochingen - Reichenbach;8 - Ruftaxi;50-142-j18
RT143;Plochingen - Deizisau;8 - Ruftaxi;50-143-j18
RT144;Kirchheim (T) - Notzingen;8 - Ruftaxi;50-144-j18
RT145;Wernau (N) Bahnhof - Katzenstein - Schmalwiesen;8 - Ruftaxi;50-145-j18
RT146;Wernau (N) Bahnhof - Schmalwiesen - Katzenstein;8 - Ruftaxi;50-146-j18
RT149;Plochingen ZOB - Reichenbach - Baltmannsweiler;8 - Ruftaxi;50-149-j18
RT161;Kirchheim (T) Altvaterweg - ZOB - Ötlingen;8 - Ruftaxi;50-161-j18
RT163;Ötlingen - Lindorf - Kirchheim (T) ZOB - Schafhof;8 - Ruftaxi;50-163-j18
RT165;Kirchheim (T) ZOB - Jesingen - Ohmden;8 - Ruftaxi;50-165-j18
RT166;Kirchheim (T) - Reudern - Nürtingen;8 - Ruftaxi;50-166-j18
RT167;Nürtingen - Aichtal - Neuenhaus;8 - Ruftaxi;50-167-j18
RT173;Weilheim (T) - Bissingen (T);8 - Ruftaxi;50-173-j18
RT175;Bissingen (T) - Weilheim (T);8 - Ruftaxi;50-175-j18
RT176;Kirchheim (T) - Dettingen - Bissingen - Ochsenwang;8 - Ruftaxi;50-176-j18
RT177;(Neidlingen -) Weilheim (T) - Kirchheim (T) - Oberlenningen;8 - Ruftaxi;50-177-j18
RT178;Kirchheim (T) - Schlierbach;8 - Ruftaxi;50-178-j18
RT179;(Kirchheim (T)) - Oberlenningen - Erkenbrechtsweiler Oberlenningen - Erkenbrechtsweiler;8 - Ruftaxi;50-179-j18
RT180;Nürtingen - Neuffen - Beuren - Erkenbrechtsweiler;8 - Ruftaxi;50-180-j18
RT183;Nürtingen Bahnhofstraße - Braike - Roßdorf Nürtingen - Braike - Roßdorf;8 - Ruftaxi;50-183-j18
RT184;Nürtingen - Zizishausen - Unterensingen;8 - Ruftaxi;50-184-j18
RT185;Großbettlingen - Raidwangen - Nürtingen;8 - Ruftaxi;50-185-j18
RT188;Nürtingen - Neckartenzlingen - Altenriet - Schlaitdorf;8 - Ruftaxi;50-188-j18
RT192;Nürtingen - Kappishäusern;8 - Ruftaxi;50-192-j18
RT193;Kleinbettlingen - Bempflingen - Nürtingen;8 - Ruftaxi;50-193-j18
RT195;Raidwangen - Großbettlingen - Frickenhausen;8 - Ruftaxi;50-195-j18
RT196;Oberboihingen - Nürtingen;8 - Ruftaxi;50-196-j18
RT198;Kohlberg - Tischardt - Frickenhausen - Nürtingen;8 - Ruftaxi;50-198-j18
RT201;Waiblingen - Neustadt - Hohenacker - Hegnach - Bittenfeld;8 - Ruftaxi;50-201-j18
RT202;Endersbach - Strümpfelbach;8 - Ruftaxi;50-202-j18
RT206;Endersbach - Beutelsbach - Schnait;8 - Ruftaxi;50-206-j18
RT209;Korb - Kleinheppach;8 - Ruftaxi;50-209-j18
RT209;Großheppach - Endersbach;8 - Ruftaxi;50-209-1-j18
RT211;Kernen;8 - Ruftaxi;50-211-j18
RT217;Grunbach - Buoch - Hebsack - Rohrbronn;8 - Ruftaxi;50-217-j18
RT250;Walkersbach - Waldhausen;8 - Ruftaxi;50-250-j18
RT260;Schorndorf - Oberberken;8 - Ruftaxi;50-260-j18
RT262;Plochingen - Lichtenwald;8 - Ruftaxi;50-262-j18
RT262;Schlichten - Schorndorf;8 - Ruftaxi;50-262-S-j18
RT266;Welzheim - Alfdorf;8 - Ruftaxi;50-266-j18
RT268;Alfdorf;8 - Ruftaxi;50-268-j18
RT334;Winnenden - Leutenbach - Weiler z Stein;8 - Ruftaxi;50-334-j18
RT361;Backnang - Plattenwald - Steinbach - Mittelbrüden - Oberbrüden Backnang - Plattenwald - Steinbach - Mittelbrüden - Oberbrüden;8 - Ruftaxi;50-361-j18
RT363;Backnang ZOB - Backnang Oberschöntal;8 - Ruftaxi;50-363-j18
RT364;Marbach (N) - Rielingshausen;8 - Ruftaxi;50-364-j18
RT381;Backnang - Weissacher Tal - Althütte;8 - Ruftaxi;50-381-j18
RT386;Sulzbach (M) - Spiegelberg;8 - Ruftaxi;50-386-j18
RT390;Backnang - Murrhardt;8 - Ruftaxi;50-390-j18
RT457;Marbach (N) - Hörnle - Marbach (N);8 - Ruftaxi;50-457-j18
RT632;Leonberg - Warmbronn;8 - Ruftaxi;50-632-j18
RT651;Leonberg - Höfingen;8 - Ruftaxi;50-651-j18
RT653;Leonberg - Gebersheim;8 - Ruftaxi;50-653-j18
RT657;Heimerdingen - Rutesheim;8 - Ruftaxi;50-657-j18
RT663;Weil der Stadt - Merklingen - Münklingen - Hausen;8 - Ruftaxi;50-663-j18
RT670;Weil der Stadt - Schafhausen - Dätzingen;8 - Ruftaxi;50-670-j18
RT752;Holzgerlingen - Altdorf - Hildrizhausen;8 - Ruftaxi;50-752-j18
RT753;Rohrau Rathaus - Gärtringen Bahnhof;8 - Ruftaxi;50-753-j18
RT754;Böblingen - Holzgerl. - Weil i. S. (- Dettenhausen);8 - Ruftaxi;50-754-j18
RT760;Böblingen - Schönaich - Waldenbuch;8 - Ruftaxi;50-760-j18
RT763;Böblingen - Aidlingen - Deufringen - Dachtel;8 - Ruftaxi;50-763-j18
RT766;(Böblingen -) Döffingen - Dätzingen - Weil der Stadt;8 - Ruftaxi;50-766-j18
RT773;Herrenberg - Deckenpfronn;8 - Ruftaxi;50-773-j18
RT774;Jettingen - Sindlingen - Haslach - Herrenberg;8 - Ruftaxi;50-774-j18
RT780;Herrenberg ZOB - Schwarzwaldsiedlung - Holdergraben - Herrenberg ZOB;8 - Ruftaxi;50-780-j18
RT782;Herrenberg ZOB - Hallenbad - Ehbühl  - (Waldfriedhof) - Seniorenzentrum - ZOB;8 - Ruftaxi;50-782-j18
RT790;Herrenberg - Nebringen - Öschelbronn - Mötzingen;8 - Ruftaxi;50-790-j18
RT791;Kayh - Breitenholz - Entringen;8 - Ruftaxi;50-791-j18
RT4;Zuffenhausen Rathaus - Zazenhausen;8 - Ruftaxi;51-4-j18
RT6;Kelterplatz - Rotenberg;8 - Ruftaxi;51-6-j18
RT7;Ährenweg - Rohracker;8 - Ruftaxi;51-7-j18
RT16;Kirchh. (T) Marktplatz. - Rembrandtweg - Marktplatz;8 - Ruftaxi;51-16-j18
RT17;Kirchheim (T) Im Münzen - Saarstraße - ZOB;8 - Ruftaxi;51-17-j18
RT21;Welzheim - Raum Welzheim/Kaisersbach;8 - Ruftaxi;51-21-j18
RT22;Schorndorf und Umgebung;8 - Ruftaxi;51-22-j18
RT30;Winnenden - Schelmenholz Breuningsweiler - Buoch - Reichenbach;8 - Ruftaxi;51-30-j18
RT31;Winnenden - Berglen;8 - Ruftaxi;51-31-j18
RT34;Backnang Bürgerheim - Aspacher Brücke;8 - Ruftaxi;51-34-j18
RT35;Backnang -  Stadtgebiet und Stadtteile;8 - Ruftaxi;51-35-j18
RT36;Sulzbach (M) - Großerlach;8 - Ruftaxi;51-36-j18
RT37;Murrhardt - Schönbronn (Murrhardt Nord);8 - Ruftaxi;51-37-j18
RT38;Murrhardt Süd;8 - Ruftaxi;51-38-j18
RT41;Kornwestheim Bf - Stadt - Bf;8 - Ruftaxi;51-41-j18
RT70;Degerloch (B27) - Königsträßle - Ruhbank;7 - Linientaxi;51-70-j18
RT92;Nürtingen - Kappishäusern;8 - Ruftaxi;51-92-j18
LT10;Marienplatz - Degerloch (Zahnradbahn Zacke);7 - Linientaxi;52-10-j18
LT64;Linientaxi Stelle - Frauenkopf;7 - Linientaxi;52-64-j18
LT151;Wendlingen (N) - Köngen - Wendlingen (N);7 - Linientaxi;52-151-j18
23;Straßenbahnwelt - Schlossplatz - Charlottenplatz - Ruhbank;9 - Museumsverkehr;62-23-j18
707;Mühlacker - Mühlhausen (E) - Illingen - Vaihingen (E);5 - Bus;77-707-j18
